C:\Users\User\Desktop\Fax\Vještačka inteligencija\Projekat>train_model_v2.bat
ℹ Saving to output directory: BS-Model
ℹ Using GPU: 0

=========================== Initializing pipeline ===========================
✔ Initialized pipeline

============================= Training pipeline =============================
ℹ Pipeline: ['tagger', 'ner', 'morphologizer', 'parser', 'lemmatizer',
'senter', 'attribute_ruler']
ℹ Initial learn rate: 0.0
E    #       LOSS TAGGER  LOSS NER  LOSS MORPH...  LOSS PARSER  LOSS SENTER  TAG_ACC  POS_ACC  ENTS_F  ENTS_P  ENTS_R  MORPH_ACC  DEP_UAS  DEP_LAS  SENTS_P  SENTS_R  SENTS_F  LEMMA_ACC  SCORE 
---  ------  -----------  --------  -------------  -----------  -----------  -------  -------  ------  ------  ------  ---------  -------  -------  -------  -------  -------  ---------  ------
C:\Users\User\AppData\Roaming\Python\Python312\site-packages\spacy\pipeline\attributeruler.py:137: UserWarning: [W036] The component 'matcher' does not have any patterns defined.
  matches = self.matcher(doc, allow_missing=True, as_spans=False)
  8   12200     57157.57   8872.15       57817.97    131730.05       467.50    85.87    94.43   66.46   68.00   64.98      86.52    78.20    70.57    91.47    92.92    92.19      80.91    0.82
  8   12400     55986.43   8528.97       56435.61    126885.65       421.31    85.94    94.44   66.56   68.00   65.18      86.57    78.36    70.71    91.32    92.80    92.06      80.91    0.82
  8   12600     56088.75   8526.73       56306.77    127478.78       410.31    86.01    94.46   66.44   67.80   65.14      86.62    78.36    70.70    90.49    92.40    91.44      80.91    0.82
  8   12800     56098.03   8758.71       56795.98    128063.09       403.11    86.05    94.48   66.52   68.03   65.07      86.67    78.48    70.86    92.07    93.15    92.61      80.91    0.82
  9   13000     57020.55   8840.36       57682.05    129515.70       487.63    86.10    94.50   66.69   68.23   65.22      86.74    78.53    70.94    90.65    92.49    91.56      80.91    0.82
  9   13200     55098.87   8637.42       55583.24    126005.11       442.65    86.15    94.52   66.64   67.93   65.40      86.77    78.53    70.93    90.85    92.57    91.70      80.91    0.82
  9   13400     56199.18   8817.96       56718.65    127555.18       445.74    86.19    94.54   66.65   67.95   65.41      86.80    78.43    70.85    89.41    91.85    90.62      80.91    0.82
  9   13600     57022.42   9086.46       57657.33    131411.61       450.19    86.22    94.55   66.84   68.32   65.42      86.85    78.47    70.92    90.44    92.41    91.41      80.91    0.82
  9   13800     55411.00   8509.58       56101.46    127633.59       449.26    86.26    94.58   66.89   68.35   65.49      86.89    78.64    71.09    91.46    92.92    92.19      80.91    0.82
  9   14000     54946.86   8441.69       55760.94    125221.62       401.47    86.32    94.60   66.87   68.07   65.71      86.93    78.54    70.99    90.14    92.28    91.20      80.91    0.82
  9   14200     54638.94   8609.92       55314.29    125202.12       464.15    86.35    94.60   66.94   68.26   65.67      86.97    78.70    71.18    91.04    92.71    91.87      80.91    0.82
  9   14400     54618.24   8478.04       54844.16    125403.70       421.35    86.39    94.62   66.95   68.36   65.59      87.01    78.70    71.16    90.18    92.26    91.21      80.91    0.82
 10   14600     53576.34   8416.61       54235.23    124064.92       434.01    86.43    94.64   67.04   68.50   65.64      87.04    78.71    71.21    90.46    92.41    91.42      80.91    0.82
 10   14800     56427.77   8703.89       56770.37    128643.35       420.92    86.47    94.67   66.96   68.29   65.67      87.08    78.82    71.29    90.15    92.21    91.17      80.91    0.82
 10   15000     54750.68   8805.82       55264.92    125441.80       419.19    86.50    94.66   67.14   68.63   65.72      87.10    78.80    71.31    91.60    92.93    92.26      80.91    0.82
 10   15200     54757.12   8430.39       55410.51    125982.38       448.89    86.53    94.68   67.10   68.35   65.89      87.13    78.93    71.43    91.17    92.75    91.95      80.91    0.82
 10   15400     53888.28   8483.78       54327.11    124535.52       438.20    86.56    94.69   67.17   68.57   65.83      87.16    78.91    71.45    90.81    92.57    91.68      80.91    0.82
 10   15600     54758.30   8910.70       55258.20    124598.09       398.29    86.58    94.71   67.24   68.42   66.09      87.18    78.91    71.45    90.91    92.61    91.75      80.91    0.82
